PATRIC ID	RefSeq Locus Tag	Product
fig|208963.12.peg.41	PA14_00510	Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family
fig|208963.12.peg.42	PA14_00520	transposase-like p;rotein
fig|208963.12.peg.43	PA14_00530	hypothetical protein
fig|208963.12.peg.44		FIG00954700: hypothetical protein
fig|208963.12.peg.45	PA14_00550	MgtC family
fig|208963.12.peg.46	PA14_00560	hypothetical protein
fig|208963.12.peg.47	PA14_00570	putative lipoprotein
fig|208963.12.peg.48	PA14_00580	putative lipoprotein
fig|208963.12.peg.49	PA14_00590	putative lipoprotein
fig|208963.12.peg.50	PA14_00600	Transcriptional regulator
fig|208963.12.peg.51	PA14_00620	putative secreted protein
fig|208963.12.peg.52		FIG00953307: hypothetical protein
fig|208963.12.peg.53	PA14_00630	hypothetical protein
fig|208963.12.peg.54	PA14_00640	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
fig|208963.12.peg.55	PA14_00650	hypothetical protein
fig|208963.12.peg.56	PA14_00660	RNA:NAD 2'-phosphotransferase
fig|208963.12.peg.57	PA14_00670	hypothetical protein
fig|208963.12.peg.58	PA14_00680	LysR-family transcriptional regulator clustered with PA0057
fig|208963.12.peg.59	PA14_00690	Metallo-beta-lactamase superfamily protein PA0057
fig|208963.12.peg.60	PA14_00700	Thioredoxin-like protein clustered with PA0057
fig|208963.12.peg.61	PA14_00710	osmotically inducible protein OsmC
fig|208963.12.peg.62	PA14_00720	hypothetical protein
fig|208963.12.peg.63	PA14_00730	putative lipoprotein
fig|208963.12.peg.64	PA14_00740	putative lipoprotein
fig|208963.12.peg.65	PA14_00750	PUTATIVE ZINC PROTEASE PROTEIN
fig|208963.12.peg.66	PA14_00760	hypothetical protein
fig|208963.12.peg.67	PA14_00770	Phosphoglycolate phosphatase (EC 3.1.3.18)
fig|208963.12.peg.68	PA14_00780	Protein YrdA
fig|208963.12.peg.69	PA14_00790	Oligopeptidase A (EC 3.4.24.70)
fig|208963.12.peg.70	PA14_00800	hypothetical protein
fig|208963.12.peg.71	PA14_00810	Radical SAM domain protein
fig|208963.12.peg.72	PA14_00820	Autotransporter adhesin
fig|208963.12.peg.73	PA14_00830	hypothetical protein
fig|208963.12.peg.74	PA14_00850	"ABC-type antimicrobial peptide transport system, permease component"
fig|208963.12.peg.75	PA14_00860	"ABC transporter, ATP-binding protein"
fig|208963.12.peg.76	PA14_00875	Serine/threonine protein kinase (EC 2.7.11.1) PpkA
fig|208963.12.peg.77	PA14_00890	Phosphoprotein phosphatase PppA
fig|208963.12.peg.78	PA14_00900	Protein phosphatase ImpM
fig|208963.12.peg.79	PA14_00910	IcmF-related protein
fig|208963.12.peg.80	PA14_00925	"Outer membrane protein ImpK/VasF, OmpA/MotB domain"
fig|208963.12.peg.81	PA14_00940	Uncharacterized protein ImpJ/VasE
fig|208963.12.peg.82	PA14_00960	Type VI secretion lipoprotein/VasD
fig|208963.12.peg.83	PA14_00970	Uncharacterized protein ImpI/VasC
fig|208963.12.peg.84	PA14_00980	Uncharacterized protein ImpI/VasC
fig|208963.12.peg.85	PA14_00990	Uncharacterized protein ImpA
fig|208963.12.peg.86	PA14_01010	Uncharacterized protein ImpB
fig|208963.12.peg.87	PA14_01020	Uncharacterized protein ImpC
fig|208963.12.peg.88	PA14_01030	Uncharacterized protein ImpD
fig|208963.12.peg.89	PA14_01040	Protein of avirulence locus ImpE
fig|208963.12.peg.90	PA14_01060	Uncharacterized protein ImpF
fig|208963.12.peg.91	PA14_01070	Protein ImpG/VasA
fig|208963.12.peg.92	PA14_01080	Uncharacterized protein ImpH/VasB
fig|208963.12.peg.93	PA14_01100	ClpB protein
fig|208963.12.peg.94	PA14_01110	VgrG protein
fig|208963.12.peg.95	PA14_01120	Phosphoglycerate dehydrogenase and related dehydrogenases
fig|208963.12.peg.96	PA14_01130	FIG00965783: hypothetical protein
fig|208963.12.peg.97	PA14_01140	Rhs-family protein
fig|208963.12.peg.98	PA14_01150	hypothetical protein
fig|208963.12.peg.99	PA14_01160	VgrG protein
fig|208963.12.peg.100	PA14_01170	hypothetical protein
fig|208963.12.peg.101	PA14_01180	putative exported protein
fig|208963.12.peg.102	PA14_01190	3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41)
fig|208963.12.peg.103	PA14_01200	hypothetical protein
fig|208963.12.peg.104	PA14_01220	hypothetical protein
fig|208963.12.peg.105	PA14_01230	FOG: HEAT repeat
fig|208963.12.peg.106	PA14_01240	Carbonic anhydrase (EC 4.2.1.1)
fig|208963.12.peg.107	PA14_01250	Sulfate transporter family protein in cluster with carbonic anhydrase
fig|208963.12.peg.108		hypothetical protein
fig|208963.12.peg.109		FIG00956559: hypothetical protein
fig|208963.12.peg.110	PA14_01290	Cytochrome c oxidase polypeptide II (EC 1.9.3.1)
fig|208963.12.peg.111	PA14_01300	Cytochrome c oxidase polypeptide I (EC 1.9.3.1)
fig|208963.12.peg.112	PA14_01310	"Cytochrome oxidase biogenesis protein Cox11-CtaG, copper delivery to Cox1"
fig|208963.12.peg.113	PA14_01320	Cytochrome c oxidase polypeptide III (EC 1.9.3.1)
fig|208963.12.peg.114	PA14_01330	hypothetical protein
fig|208963.12.peg.115	PA14_01340	"Cytochrome oxidase biogenesis protein Surf1, facilitates heme A insertion"
fig|208963.12.peg.116	PA14_01350	Hypotehtical protein in Cytochrome oxidase biogenesis cluster
fig|208963.12.peg.117	PA14_01360	"Heme A synthase, cytochrome oxidase biogenesis protein Cox15-CtaA"
fig|208963.12.peg.118	PA14_01380	"Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB"
fig|208963.12.peg.119	PA14_01390	"Cytochrome oxidase biogenesis protein Sco1/SenC/PrrC, thiol-disulfide reductase involved in Cu(I) insertion into CoxII Cu(A) center"
fig|208963.12.peg.120	PA14_01400	N-acetyltransferase ElaA
fig|208963.12.peg.121	PA14_01410	"Transcriptional regulator, HxlR family"
fig|208963.12.peg.122	PA14_01430	"Short-chain dehydrogenase, associated with 2-hydroxychromene-2-carboxylate isomerase family protein"
fig|208963.12.peg.123	PA14_01440	2-hydroxychromene-2-carboxylate isomerase family protein
fig|208963.12.peg.124	PA14_01460	C4-dicarboxylate transport protein
fig|208963.12.peg.125	PA14_01470	"Transcriptional regulator, GntR family"
fig|208963.12.peg.126	PA14_01480	"Transcriptional regulator, GntR family"
fig|208963.12.peg.127	PA14_01490	hypothetical protein
fig|208963.12.peg.128	PA14_01500	Transcriptional regulator
fig|208963.12.peg.129	PA14_01510	"Death on curing protein, Doc toxin"
fig|208963.12.peg.130	PA14_01520	"Prevent host death protein, Phd antitoxin"
fig|208963.12.peg.131	PA14_01540	hypothetical protein
fig|208963.12.peg.132	PA14_01550	putative lipoprotein
fig|208963.12.peg.133	PA14_01560	Protein PhnA
fig|208963.12.peg.134	PA14_01580	gamma-aminobutyrate (GABA) permease
fig|208963.12.peg.135	PA14_01600	Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)
fig|208963.12.peg.136	PA14_01610	hypothetical protein
fig|208963.12.peg.137	PA14_01620	Omega-amino acid--pyruvate aminotransferase (EC 2.6.1.18)
fig|208963.12.peg.138	PA14_01640	LysR family transcriptional regulator PA0133
fig|208963.12.peg.139	PA14_01660	Guanine deaminase (EC 3.5.4.3)
fig|208963.12.peg.140		FIG00965152: hypothetical protein
fig|208963.12.peg.141	PA14_01670	"ABC transporter, ATP-binding protein"
fig|208963.12.peg.142	PA14_01680	"ABC transporter, permease protein"
fig|208963.12.peg.143	PA14_01690	"ABC transporter, inner membrane subunit precursor"
fig|208963.12.peg.144		FIG00959072: hypothetical protein
fig|208963.12.peg.145	PA14_01710	Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)
fig|208963.12.peg.146	PA14_01720	Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)
fig|208963.12.peg.147	PA14_01730	Polyphosphate kinase 2 (EC 2.7.4.1)
fig|208963.12.peg.148	PA14_01750	Guanine deaminase (EC 3.5.4.3)
fig|208963.12.peg.149	PA14_01760	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)
fig|208963.12.peg.150	PA14_01770	Outer membrane protein OmpK
fig|208963.12.peg.151	PA14_01780	Nucleoside 2-deoxyribosyltransferase
fig|208963.12.peg.152	PA14_01790	Nucleoside 2-deoxyribosyltransferase
fig|208963.12.peg.153		FIG00965744: hypothetical protein
fig|208963.12.peg.154	PA14_01800	"Nucleoside ABC transporter, periplasmic nucleoside-binding protein"
fig|208963.12.peg.155	PA14_01810	"2-Oxobutyrate oxidase, putative"
fig|208963.12.peg.156		hypothetical protein
fig|208963.12.peg.157	PA14_01830	Adenosine deaminase (EC 3.5.4.4)
fig|208963.12.peg.158	PA14_01840	"FIG006045: Sigma factor, ECF subfamily"
fig|208963.12.peg.159	PA14_01860	Iron siderophore sensor protein
fig|208963.12.peg.160	PA14_01870	Ferrichrome-iron receptor @ Iron siderophore receptor protein
fig|208963.12.peg.161	PA14_01890	Pca operon transcriptional activator PcaQ
fig|208963.12.peg.162	PA14_01900	"Protocatechuate 3,4-dioxygenase beta chain (EC 1.13.11.3)"
fig|208963.12.peg.163	PA14_01910	"Protocatechuate 3,4-dioxygenase alpha chain (EC 1.13.11.3)"
fig|208963.12.peg.164		FIG00961348: hypothetical protein
fig|208963.12.peg.165	PA14_01930	Pca regulon regulatory protein PcaR
fig|208963.12.peg.166	PA14_01940	"RND efflux system, membrane fusion protein"
fig|208963.12.peg.167	PA14_01960	"RND efflux system, membrane fusion protein"
fig|208963.12.peg.168	PA14_01970	probable RND efflux transporter
fig|208963.12.peg.169	PA14_01980	"Transcriptional regulator, LysR family"
fig|208963.12.peg.170	PA14_01990	hypothetical protein
fig|208963.12.peg.171		FIG00965890: hypothetical protein
fig|208963.12.peg.172	PA14_02020	Putative porin
fig|208963.12.peg.173	PA14_02030	"Transcriptional regulator, AraC family"
fig|208963.12.peg.174	PA14_02050	Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13)
fig|208963.12.peg.175	PA14_02060	Nucleoside-binding outer membrane protein
fig|208963.12.peg.176	PA14_02070	Xanthine permease
fig|208963.12.peg.177	PA14_02090	"Transcriptional regulator, AcrR family"
fig|208963.12.peg.178	PA14_02100	FIG000605: protein co-occurring with transport systems (COG1739)
fig|208963.12.peg.179	PA14_02110	FIG066100: Diguanylate cyclase (GGDEF domain) with PAS/PAC sensor
fig|208963.12.peg.180	PA14_02130	FIG057251: Fe-S oxidoreductase
fig|208963.12.peg.181	PA14_02140	FIG062788: hypothetical protein
fig|208963.12.peg.182	PA14_02150	FIG017431: Sigma factor-like phosphatase with CBS pair domains
fig|208963.12.peg.183	PA14_02180	Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)
fig|208963.12.peg.184	PA14_02190	Chemotaxis protein CheD
fig|208963.12.peg.185	PA14_02200	Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)
fig|208963.12.peg.186	PA14_02220	Methyl-accepting chemotaxis protein
fig|208963.12.peg.187	PA14_02230	Positive regulator of CheA protein activity (CheW)
fig|208963.12.peg.188	PA14_02250	Signal transduction histidine kinase CheA (EC 2.7.3.-)
fig|208963.12.peg.189	PA14_02260	Chemotaxis regulator - transmits chemoreceptor signals to flagelllar motor components CheY
fig|208963.12.peg.190	PA14_02270	Methyl-accepting chemotaxis protein
fig|208963.12.peg.191	PA14_02290	"Transcriptional regulator, LysR family"
fig|208963.12.peg.192	PA14_02300	"Oxidoreductase, short-chain dehydrogenase/reductase family"
fig|208963.12.peg.193	PA14_02310	Arylsulfatase (EC 3.1.6.1)
fig|208963.12.peg.194	PA14_02330	"Alkanesulfonates ABC transporter ATP-binding protein / Sulfonate ABC transporter, ATP-binding subunit SsuB"
fig|208963.12.peg.195	PA14_02340	Alkanesulfonates transport system permease protein
fig|208963.12.peg.196	PA14_02360	Alkanesulfonates-binding protein
fig|208963.12.peg.197	PA14_02370	Putative porin
fig|208963.12.peg.198	PA14_02380	probable acid phosphatase
fig|208963.12.peg.199	PA14_02390	LysR family transcriptional regulator PA0191
fig|208963.12.peg.200		FIG00953428: hypothetical protein
fig|208963.12.peg.201	PA14_02410	Putative TonB-dependent receptor
fig|208963.12.peg.202	PA14_02420	Probable taurine catabolism dioxygenase
fig|208963.12.peg.203	PA14_02435	Probable taurine catabolism dioxygenase
fig|208963.12.peg.204	PA14_02450	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)
fig|208963.12.peg.205	PA14_02460	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)
fig|208963.12.peg.206	PA14_02470	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)
fig|208963.12.peg.207	PA14_02490	"Ferric siderophore transport system, periplasmic binding protein TonB"
fig|208963.12.peg.208	PA14_02500	MotA/TolQ/ExbB proton channel family protein
fig|208963.12.peg.209	PA14_02510	Biopolymer transport protein ExbD/TolR
fig|208963.12.peg.210	PA14_02520	hypothetical protein
fig|208963.12.peg.211	PA14_02530	hypothetical protein
fig|208963.12.peg.212	PA14_02550	Malonate decarboxylase alpha subunit
fig|208963.12.peg.213	PA14_02560	Triphosphoribosyl-dephospho-CoA synthase (EC 2.4.2.52)
fig|208963.12.peg.214	PA14_02570	Malonate decarboxylase delta subunit
fig|208963.12.peg.215	PA14_02580	Malonate decarboxylase beta subunit
fig|208963.12.peg.216	PA14_02590	Malonate decarboxylase gamma subunit
fig|208963.12.peg.217		hypothetical protein
fig|208963.12.peg.218	PA14_02610	Malonate decarboxylase holo-[acyl-carrier-protein] synthase (EC 2.7.7.66)
fig|208963.12.peg.219	PA14_02620	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)
fig|208963.12.peg.220	PA14_02630	"Malonate transporter, MadL subunit"
fig|208963.12.peg.221	PA14_02640	"Malonate transporter, MadM subunit"
fig|208963.12.peg.222	PA14_02650	Malonate utilization transcriptional regulator
fig|208963.12.peg.223	PA14_02660	Transcriptional regulator
fig|208963.12.peg.224		FIG00954099: hypothetical protein
fig|208963.12.peg.225	PA14_02680	Aldehyde dehydrogenase (EC 1.2.1.3)
fig|208963.12.peg.226	PA14_02690	Putative amino acid permease
fig|208963.12.peg.227	PA14_02700	Omega-amino acid--pyruvate aminotransferase (EC 2.6.1.18)
fig|208963.12.peg.228	PA14_02720	Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)
fig|208963.12.peg.229	PA14_02730	Dihydrodipicolinate synthase family PA0223
fig|208963.12.peg.230	PA14_02740	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases
fig|208963.12.peg.231	PA14_02750	Transcriptional regulator PA0225
fig|208963.12.peg.232	PA14_02760	3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6); Glutaconate CoA-transferase subunit A (EC 2.8.3.12)
fig|208963.12.peg.233	PA14_02770	3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6); Glutaconate CoA-transferase subunit B (EC 2.8.3.12)
fig|208963.12.peg.234	PA14_02790	3-oxoadipyl-CoA thiolase (EC 2.3.1.174)
fig|208963.12.peg.235	PA14_02810	dicarboxylic acid transporter PcaT
fig|208963.12.peg.236	PA14_02830	"3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2)"
fig|208963.12.peg.237	PA14_02840	Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24)
fig|208963.12.peg.238	PA14_02850	4-carboxymuconolactone decarboxylase (EC 4.1.1.44)
fig|208963.12.peg.239	PA14_02870	"Transcriptional regulator, LysR family"
fig|208963.12.peg.240	PA14_02890	Nucleoside-binding outer membrane protein
fig|208963.12.peg.241	PA14_02900	4-hydroxybenzoate transporter
fig|208963.12.peg.242	PA14_02910	Pca regulon regulatory protein PcaR
fig|208963.12.peg.243	PA14_02930	Putative oxidoreductase
fig|208963.12.peg.244	PA14_02960	Sugar phosphate isomerases/epimerases
fig|208963.12.peg.245	PA14_02970	Permeases of the drug/metabolite transporter (DMT) superfamily
fig|208963.12.peg.246	PA14_02980	PhaK-like protein
fig|208963.12.peg.247	PA14_02990	Major facilitator family transporter
fig|208963.12.peg.248	PA14_03000	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)
fig|208963.12.peg.249	PA14_03010	"Transcriptional regulator, AcrR family"
fig|208963.12.peg.250	PA14_03020	Quinate/shikimate 5-dehydrogenase I delta (EC 1.1.1.25)
fig|208963.12.peg.251	PA14_03030	3-dehydroquinate dehydratase II (EC 4.2.1.10)
fig|208963.12.peg.252	PA14_03040	Probable MFS transporter
fig|208963.12.peg.253	PA14_03050	P-hydroxybenzoate hydroxylase (EC 1.14.13.2)
fig|208963.12.peg.254	PA14_03070	"Transcriptional regulator PobR, AraC family"
fig|208963.12.peg.255	PA14_03080	Putative acetyltransferase
fig|208963.12.peg.256	PA14_03090	CBS domain protein
fig|208963.12.peg.257	PA14_03100	hypothetical protein
fig|208963.12.peg.258	PA14_03110	hypothetical protein
fig|208963.12.peg.259	PA14_03120	"Transcriptional regulator, MarR family"
fig|208963.12.peg.260	PA14_03130	"Virulence associated gene hudA (PA0254), similar to UbiD"
fig|208963.12.peg.261	PA14_03150	Protein of unknown function DUF1275
fig|208963.12.peg.262	PA14_03160	hypothetical protein
fig|208963.12.peg.263	PA14_03170	Mobile element protein
fig|208963.12.peg.264	PA14_03180	Mobile element protein
fig|208963.12.peg.265	PA14_03190	hypothetical protein
fig|208963.12.peg.266	PA14_03200	hypothetical protein
fig|208963.12.peg.267	PA14_03210	hypothetical protein
fig|208963.12.peg.268	PA14_03220	VgrG protein
fig|208963.12.peg.269	PA14_03240	secreted protein Hcp
fig|208963.12.peg.270		hypothetical protein
fig|208963.12.peg.271	PA14_03250	FIG149030: hypothetical protein
fig|208963.12.peg.272		hypothetical protein
fig|208963.12.peg.273		hypothetical protein
fig|208963.12.peg.274	PA14_03270	FIG007317: Chromosome segregation protein SMC-like
fig|208963.12.peg.275	PA14_03290	Mobile element protein
fig|208963.12.peg.276	PA14_03300	Mobile element protein
fig|208963.12.peg.277	PA14_03310	FIG00962130: hypothetical protein
fig|208963.12.peg.278	PA14_03330	Histidinol-phosphatase (EC 3.1.3.15)
fig|208963.12.peg.279	PA14_03340	FIG00965705: hypothetical protein
fig|208963.12.peg.280	PA14_03360	Putative oxidoreductase
fig|208963.12.peg.281	PA14_03380	hypothetical protein
fig|208963.12.peg.282	PA14_03400	Transcription-repair coupling factor (superfamily II helicase)
fig|208963.12.peg.283	PA14_03420	hypothetical protein
fig|208963.12.peg.284	PA14_03430	Succinate-semialdehyde dehydrogenase [NAD(P)+] (EC 1.2.1.16)
fig|208963.12.peg.285		FIG00954665: hypothetical protein
fig|208963.12.peg.286	PA14_03450	5-aminovalerate aminotransferase (EC 2.6.1.48) / Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)
fig|208963.12.peg.287		FIG00959032: hypothetical protein
fig|208963.12.peg.288	PA14_03470	Response regulator
fig|208963.12.peg.289	PA14_03480	"GntR family transcriptional regulator PA0268 @ Transcriptional regulator, GntR family domain"
fig|208963.12.peg.290	PA14_03490	4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein
fig|208963.12.peg.291	PA14_03510	hypothetical protein
fig|208963.12.peg.292	PA14_03520	hypothetical protein
fig|208963.12.peg.293	PA14_03530	Transcriptional regulator
fig|208963.12.peg.294	PA14_03550	Probable MFS transporter
fig|208963.12.peg.295	PA14_03560	hypothetical protein
fig|208963.12.peg.296	PA14_03580	"Transcriptional regulator, Crp/Fnr family"
fig|208963.12.peg.297	PA14_03590	hypothetical protein
fig|208963.12.peg.298	PA14_03610	Putative metalloprotease yggG (EC 3.4.24.-)
fig|208963.12.peg.299	PA14_03620	putative membrane protein
fig|208963.12.peg.300	PA14_03630	Transcriptional regulator
fig|208963.12.peg.301	PA14_03650	Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)
fig|208963.12.peg.302	PA14_03670	Sulfate transport system permease protein CysW
fig|208963.12.peg.303	PA14_03680	Sulfate transport system permease protein CysT
fig|208963.12.peg.304	PA14_03700	Sulfate and thiosulfate binding protein CysP
fig|208963.12.peg.305	PA14_03710	hypothetical protein
fig|208963.12.peg.306		hypothetical protein
fig|208963.12.peg.307	PA14_03720	hypothetical protein
fig|208963.12.peg.308	PA14_03730	Fatty acid desaturase (EC 1.14.19.1); Delta-9 fatty acid desaturase (EC 1.14.19.1)
fig|208963.12.peg.309	PA14_03760	"sodium-solute symporter, putative"
fig|208963.12.peg.310	PA14_03770	"Arginase/agmatinase/formimionoglutamate hydrolase, arginase family"
fig|208963.12.peg.311	PA14_03780	hypothetical protein
fig|208963.12.peg.312	PA14_03790	Sensory box/GGDEF domain protein
fig|208963.12.peg.313	PA14_03800	outer membrane porin OprE precursor
fig|208963.12.peg.314	PA14_03810	Agmatine deiminase (EC 3.5.3.12)
fig|208963.12.peg.315	PA14_03830	N-carbamoylputrescine amidase (EC 3.5.1.53)
fig|208963.12.peg.316	PA14_03840	"Transcriptional regulator, AcrR family"
fig|208963.12.peg.317	PA14_03855	Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)
fig|208963.12.peg.318	PA14_03860	Glutamine synthetase (EC 6.3.1.2)
fig|208963.12.peg.319	PA14_03870	Gamma-glutamyl-GABA hydrolase
fig|208963.12.peg.320	PA14_03880	glutamine synthetase family protein
fig|208963.12.peg.321	PA14_03900	Omega-amino acid--pyruvate aminotransferase (EC 2.6.1.18)
fig|208963.12.peg.322	PA14_03920	Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)
fig|208963.12.peg.323	PA14_03930	Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)
fig|208963.12.peg.324	PA14_03940	Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)
fig|208963.12.peg.325	PA14_03950	Putrescine transport system permease protein PotH (TC 3.A.1.11.2)
fig|208963.12.peg.326	PA14_03960	Putrescine transport system permease protein PotI (TC 3.A.1.11.2)
fig|208963.12.peg.327	PA14_03980	Protein related to penicillin acylase
fig|208963.12.peg.328		FIG00961498: hypothetical protein
fig|208963.12.peg.329	PA14_04000	Transcriptional regulator
fig|208963.12.peg.330	PA14_04010	hypothetical protein
fig|208963.12.peg.331	PA14_04020	Thiol-disulfide isomerase and thioredoxins
fig|208963.12.peg.332	PA14_04030	Lysophospholipase (EC 3.1.1.5)
fig|208963.12.peg.333	PA14_04040	hypothetical protein
fig|208963.12.peg.334	PA14_04050	"oxidoreductase, 2OG-Fe(II) oxygenase family"
fig|208963.12.peg.335	PA14_04060	hypothetical protein
fig|208963.12.peg.336	PA14_04070	Uncharacterized protein YbbK
fig|208963.12.peg.337	PA14_04080	"Amino acid ABC transporter, permease protein"
fig|208963.12.peg.338	PA14_04090	"ABC-type amino acid transport/signal transduction systems, periplasmic component/domain"
fig|208963.12.peg.339	PA14_04100	hypothetical protein
fig|208963.12.peg.340	PA14_04110	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
fig|208963.12.peg.341	PA14_04140	D-2-hydroxyglutarate dehydrogenase (EC 1.1.99.2)
fig|208963.12.peg.342	PA14_04150	FIG094199: Fumarylacetoacetate hydrolase
fig|208963.12.peg.343	PA14_04160	Outer membrane protein
fig|208963.12.peg.344	PA14_04180	Protein co-occuring with molybdenum cofactor biosynthesis protein B
fig|208963.12.peg.345	PA14_04190	Acetylpolyamine aminohydrolase
fig|208963.12.peg.346	PA14_04210	Amino acid transporters
fig|208963.12.peg.347		hypothetical protein
fig|208963.12.peg.348	PA14_04220	Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)
fig|208963.12.peg.349	PA14_04230	Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)
fig|208963.12.peg.350	PA14_04240	Spermidine/putrescine import ABC transporter permease protein PotB (TC 3.A.1.11.1)
fig|208963.12.peg.351	PA14_04250	Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1)
fig|208963.12.peg.352	PA14_04270	Outer membrane protein
